# Fix print output for fix extra
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
0 17.2 0 17.2 0 17.2
